รหัสพัสดุ,ชื่อพัสดุ,หน่วย,ราคากลาง,ราคามาตรฐาน,Ref_เหนือ,Ref_อีสาน,Ref_กลาง,Ref_ใต้,Std_เหนือ,Std_อีสาน,Std_กลาง,Std_ใต้
1000000002,"POLE,WOOD,10 M.LONG",EA,,1840,,,,,,,,
1000000003,"POLE,WOOD 12 M",EA,,4020,,,,,,,,
1000000004,"POLE,WOOD 14 M",EA,,5860,,,,,,,,
1000010000,POLE 6 M.,EA,,,,,,,750,750,500,750
1000010001,POLE 8 M.,EA,,,1765,1727,1739,1800,1765,1727,1739,1800
1000010002,POLE  9 M.,EA,,,2304,2257,2269,2346,2304,2257,2269,2346
1000010003,"POLE,CONCRETE,12 M.LONG FOR 11 AND 22 KV",EA,,,,,,,3780,3780,3780,3780
1000010004,POLE 12 M.,EA,,,5650,5548,5565,5743,5650,5548,5565,5743
1000010005,"POLE,CONCRETE,14 M.LONG FOR 11 AND 22 KV",EA,,,,,,,2931,2931,2931,2931
1000010006,POLE 14 M.,EA,,,8058,7902,7938,8199,8058,7902,7938,8199
1000010008,POLE 16 M.,EA,,,11260,11050,11090,11450,11260,11050,11090,11450
1000010011,POLE 22 M.,EA,,,,,,,25200,24910,25040,25840
1000010012,POLE 12.2 M.,EA,,,8603,8441,8472,8749,8603,8441,8472,8749
1000010013,POLE 14.3 M.,EA,,,13990,13730,13770,14210,13990,13730,13770,14210
1000010014,POLE 9.30 M.,EA,,,3740,3677,3680,3796,3740,3677,3680,3796
1000010015,POLE 22 M WITH GROUND PLATE 1 SIDE,EA,,,,,,,26060,25770,25950,26790
1000010016,POLE 22 M WITH GROUND PLATE 2 SIDES,EA,,,28920,28390,28470,29300,28920,28390,28470,29300
1000010017,POLE 12 M. WITH CORROSSION RESISTANCE,EA,,,,,,,6546,6432,6455,6635
1000010018,POLE 22 M 25 T.M. WITH GROUND PLATE,EA,,,,,,,43660,42700,44700,43680
1000010021,POLE 9 M CORROSION-RESISTANT,EA,,,,,,,2508,2466,2435,2601
1000010022,POLE 12.20 M CORROSION-RESISTANT,EA,,,,,,,9295,9146,9034,9609
1000010023,POLE 22.00 M CORROSION-RESISTANT,EA,,,,,,,31320,30840,30510,32180
1000020001,STUB 0.25X0.25 M. 3.5 M.LONG,EA,,,1330,1294,1310,1361,1330,1294,1310,1361
1000020002,STUB 0.25X0.25 M. 4.5 M.LONG,EA,,,1697,1652,1672,1737,1697,1652,1672,1737
1000020003,STUB 0.25X0.25 M. 5.5 M.LONG,EA,,,2064,2008,2033,2112,2064,2008,2033,2112
1000020004,STUB 0.25X0.25X3.50M CORROSION-RESISTANT,EA,,,,,,,1499,1465,1448,1570
1000020005,STUB 0.25X0.25X4.50M CORROSION-RESISTANT,EA,,,,,,,1908,1866,1844,1999
1000020006,STUB 0.25X0.25X5.50M CORROSION-RESISTANT,EA,,,,,,,2323,2272,2244,2433
